claim,assumptions,evidence,label,verification
Apple was founded in 1979.,"
1. The founding date of Apple is known to be correct. 
2. The sources of information used to confirm the founding date are reliable and accurate. 
3. The information on the founding date of Apple is not subject to any bias or distortion. 
4. The information has not been misrepresented or misinterpreted. 
5. There are no conflicting or alternative dates given for the founding of Apple. 
6. There is no evidence or information to suggest that the founding date of Apple is different from 1979. 
7. There are no significant changes in the context or circumstances of Apple's founding that could affect the date of its establishment. 
8. There is no intentional or unintentional distortion or concealment of information related to the founding of Apple.","Apple Inc. is an American multinational technology company headquartered in Cupertino , California that designs , develops , and sells consumer electronics , computer software , and online services . The company 's hardware products include the iPhone smartphone , the iPad tablet computer , the Mac personal computer , the iPod portable media player , the Apple Watch smartwatch , and the Apple TV digital media player . Apple 's consumer software includes the macOS and iOS operating systems , the iTunes media player , the Safari web browser , and the iLife and iWork creativity and productivity suites . Its online services include the iTunes Store , the iOS App Store and Mac App Store , Apple Music , and iCloud .   Apple was founded by Steve Jobs , Steve Wozniak , and Ronald Wayne in April 1976 to develop and sell personal computers . It was incorporated as Apple Computer , Inc. in January 1977 , and sales of its computers saw significant momentum and revenue growth for the company . Within a few years , they had hired a staff of computer designers and had a production line . Apple went public in 1980 to instant financial success . Over the next few years , Apple shipped new computers featuring innovative graphical user interfaces , and Apple 's marketing commercials for its products received widespread critical acclaim . However , the high price tag of its products and limited software titles caused problems , as did power struggles between executives at the company . Jobs resigned from Apple and created his own company . As the market for personal computers increased , Apple 's computers saw diminishing sales due to lower-priced products from competitors , in particular those offered with the Microsoft Windows operating system . More executive job shuffles happened at Apple until then-CEO Gil Amelio in 1997 decided to buy Jobs ' company to bring him back . Jobs regained position as CEO , and began a process to rebuild Apple 's status , which included opening Apple 's own retail stores in 2001 , making numerous acquisitions of software companies to create a portfolio of software titles , and changed some of the hardware technology used in its computers . It again saw success and returned to profitability . In January 2007 , Jobs announced that Apple Computer , Inc. would be renamed Apple Inc. to reflect its shifted focus toward consumer electronics , and announced the iPhone , which saw critical acclaim and significant financial success . In August 2011 , Jobs resigned as CEO due to health complications , and Tim Cook became the new CEO . Two months later , Jobs died , marking the end of an era for the company .   Apple is the world 's largest information technology company by revenue , and the world 's second-largest mobile phone manufacturer after Samsung . In February 2015 , Apple became the first U.S. company to be valued at over US$ 700billion . The company employs 116,000 full-time employees and maintains 496 retail stores in 21 countries . It operates the iTunes Store , which is the world 's largest music retailer . , more than one billion Apple products are actively in use worldwide .   Apple 's worldwide annual revenue totaled $ 215billion for the 2016 fiscal year . The company enjoys a high level of brand loyalty and has been repeatedly ranked as the world 's most valuable brand . However , it receives significant criticism regarding the labor practices of its contractors and its environmental and business practices , including the origins of source materials . ",REFUTES,"1. SUPPORTED
2. SUPPORTED
3. NOT ENOUGH INFO
4. NOT ENOUGH INFO
5. SUPPORTED
6. NOT ENOUGH INFO
7. NOT ENOUGH INFO
Final answer: NOT ENOUGH INFO"
"Apple was incorporated as Apple Computer, Inc. in January 1977.","
1. Historical records are reliable and can be used as primary sources of information.
2. The incorporation of Apple was a public event and there is sufficient evidence in the public records of its existence.
3. Legal documents, such as incorporation papers and tax forms, can be trusted as reliable sources of information.
4. The name and location of the company are correctly recorded in the incorporation documents.
5. The incorporation of Apple was a legal act and followed the legal requirements of the time and place.
6. The incorporation documents were filed with official government agencies in accordance with the regulations.
7. The company has been continuously registered with the same government agencies since incorporation.
8. The company's history and activities are accurately recorded in the public records.
  
Note that these assumptions may not all be correct, but they represent possible points to consider when assessing the validity of the claim.","Apple Inc. is an American multinational technology company headquartered in Cupertino , California that designs , develops , and sells consumer electronics , computer software , and online services . The company 's hardware products include the iPhone smartphone , the iPad tablet computer , the Mac personal computer , the iPod portable media player , the Apple Watch smartwatch , and the Apple TV digital media player . Apple 's consumer software includes the macOS and iOS operating systems , the iTunes media player , the Safari web browser , and the iLife and iWork creativity and productivity suites . Its online services include the iTunes Store , the iOS App Store and Mac App Store , Apple Music , and iCloud .   Apple was founded by Steve Jobs , Steve Wozniak , and Ronald Wayne in April 1976 to develop and sell personal computers . It was incorporated as Apple Computer , Inc. in January 1977 , and sales of its computers saw significant momentum and revenue growth for the company . Within a few years , they had hired a staff of computer designers and had a production line . Apple went public in 1980 to instant financial success . Over the next few years , Apple shipped new computers featuring innovative graphical user interfaces , and Apple 's marketing commercials for its products received widespread critical acclaim . However , the high price tag of its products and limited software titles caused problems , as did power struggles between executives at the company . Jobs resigned from Apple and created his own company . As the market for personal computers increased , Apple 's computers saw diminishing sales due to lower-priced products from competitors , in particular those offered with the Microsoft Windows operating system . More executive job shuffles happened at Apple until then-CEO Gil Amelio in 1997 decided to buy Jobs ' company to bring him back . Jobs regained position as CEO , and began a process to rebuild Apple 's status , which included opening Apple 's own retail stores in 2001 , making numerous acquisitions of software companies to create a portfolio of software titles , and changed some of the hardware technology used in its computers . It again saw success and returned to profitability . In January 2007 , Jobs announced that Apple Computer , Inc. would be renamed Apple Inc. to reflect its shifted focus toward consumer electronics , and announced the iPhone , which saw critical acclaim and significant financial success . In August 2011 , Jobs resigned as CEO due to health complications , and Tim Cook became the new CEO . Two months later , Jobs died , marking the end of an era for the company .   Apple is the world 's largest information technology company by revenue , and the world 's second-largest mobile phone manufacturer after Samsung . In February 2015 , Apple became the first U.S. company to be valued at over US$ 700billion . The company employs 116,000 full-time employees and maintains 496 retail stores in 21 countries . It operates the iTunes Store , which is the world 's largest music retailer . , more than one billion Apple products are actively in use worldwide .   Apple 's worldwide annual revenue totaled $ 215billion for the 2016 fiscal year . The company enjoys a high level of brand loyalty and has been repeatedly ranked as the world 's most valuable brand . However , it receives significant criticism regarding the labor practices of its contractors and its environmental and business practices , including the origins of source materials . ",SUPPORTS,"Statement 1: SUPPORTED
Statement 2: SUPPORTED
Statement 3: SUPPORTED
Statement 4: SUPPORTED
Statement 5: SUPPORTED
Statement 6: SUPPORTED
Statement 7: NOT ENOUGH INFO
Statement 8: SUPPORTED

Majority Vote: SUPPORTED"
Apple was not founded in 1976.,"
1. The information on the history of Apple on various websites is accurate and up-to-date.
2. The history of Apple provided on various websites is comprehensive and complete.
3. The history of Apple mentioned in the book 'The Apple Experience: Secrets to Retail Success' is accurate and complete.
4. The information on the founding of Apple provided by Steve Jobs himself is accurate and complete.
5. The information on the founding of Apple provided by Apple's co-founder, Steve Wozniak, is accurate and complete.
6. There are no other sources, besides the ones already mentioned, that could provide a different version of Apple's founding.
7. The history of Apple provided on Apple's official website is accurate and up-to-date.
8. The history of Apple provided in the book 'The Innovator's Dilemma' is accurate and complete. 

Is this claim true or false?
Based on the assumptions provided, it seems like the claim is true. However, without further confirmation, it is impossible to say for sure. It is always important to verify the accuracy and completeness of information before drawing conclusions.","Apple Inc. is an American multinational technology company headquartered in Cupertino , California that designs , develops , and sells consumer electronics , computer software , and online services . The company 's hardware products include the iPhone smartphone , the iPad tablet computer , the Mac personal computer , the iPod portable media player , the Apple Watch smartwatch , and the Apple TV digital media player . Apple 's consumer software includes the macOS and iOS operating systems , the iTunes media player , the Safari web browser , and the iLife and iWork creativity and productivity suites . Its online services include the iTunes Store , the iOS App Store and Mac App Store , Apple Music , and iCloud .   Apple was founded by Steve Jobs , Steve Wozniak , and Ronald Wayne in April 1976 to develop and sell personal computers . It was incorporated as Apple Computer , Inc. in January 1977 , and sales of its computers saw significant momentum and revenue growth for the company . Within a few years , they had hired a staff of computer designers and had a production line . Apple went public in 1980 to instant financial success . Over the next few years , Apple shipped new computers featuring innovative graphical user interfaces , and Apple 's marketing commercials for its products received widespread critical acclaim . However , the high price tag of its products and limited software titles caused problems , as did power struggles between executives at the company . Jobs resigned from Apple and created his own company . As the market for personal computers increased , Apple 's computers saw diminishing sales due to lower-priced products from competitors , in particular those offered with the Microsoft Windows operating system . More executive job shuffles happened at Apple until then-CEO Gil Amelio in 1997 decided to buy Jobs ' company to bring him back . Jobs regained position as CEO , and began a process to rebuild Apple 's status , which included opening Apple 's own retail stores in 2001 , making numerous acquisitions of software companies to create a portfolio of software titles , and changed some of the hardware technology used in its computers . It again saw success and returned to profitability . In January 2007 , Jobs announced that Apple Computer , Inc. would be renamed Apple Inc. to reflect its shifted focus toward consumer electronics , and announced the iPhone , which saw critical acclaim and significant financial success . In August 2011 , Jobs resigned as CEO due to health complications , and Tim Cook became the new CEO . Two months later , Jobs died , marking the end of an era for the company .   Apple is the world 's largest information technology company by revenue , and the world 's second-largest mobile phone manufacturer after Samsung . In February 2015 , Apple became the first U.S. company to be valued at over US$ 700billion . The company employs 116,000 full-time employees and maintains 496 retail stores in 21 countries . It operates the iTunes Store , which is the world 's largest music retailer . , more than one billion Apple products are actively in use worldwide .   Apple 's worldwide annual revenue totaled $ 215billion for the 2016 fiscal year . The company enjoys a high level of brand loyalty and has been repeatedly ranked as the world 's most valuable brand . However , it receives significant criticism regarding the labor practices of its contractors and its environmental and business practices , including the origins of source materials . ",REFUTES,"List:
1. SUPPORTED
2. NOT ENOUGH INFO
3. NOT ENOUGH INFO
4. SUPPORTED
5. NOT ENOUGH INFO
6. NOT ENOUGH INFO
7. SUPPORTED
8. NOT ENOUGH INFO
9. NOT ENOUGH INFO

Based on the majority vote, the final answer is NOT ENOUGH INFO."
Ariana Grande's second album debuted at number one in the United States when it was released in 2014.,"<ol>
            <li>The claim is about Ariana Grande's music</li>
            <li>There have been multiple albums released by Ariana Grande</li>
            <li>The claim is referring to a specific album</li>
            <li>The claim is about a music release in the year 2014</li>
            <li>This particular music release was popular enough to be ranked number one in the United States</li>
            <li>There is a specific chart that the claim is referring to</li>
            <li>The chart being referred to has the United States as the target market</li>
            <li>Sales data for music releases is easily accessible</li>
    </ol>","Ariana Grande-Butera -LRB- born June 26 , 1993 -RRB- , known as Ariana Grande -LRB- -LSB- ˌɑriˈɑːnə_ˈɡrɑːndeɪ -RSB- -RRB- , is an American singer and actress . She began her career in the Broadway musical 13 , before landing the role of Cat Valentine in the Nickelodeon television series Victorious in 2009 . The show ended after four seasons , and Grande starred in the spinoff , Sam & Cat , which ended in 2014 . She has also appeared in other theatre and television roles , and has lent her voice to animated television and films .   Grande 's music career began with the soundtrack Music from Victorious -LRB- 2011 -RRB- . She signed a recording contract with Republic Records and released her debut studio album , Yours Truly , in 2013 , which debuted at number one on the US Billboard 200 . The album 's lead single , `` The Way '' , debuted in the top 10 of the Billboard Hot 100 , with critics comparing her wide vocal range to that of Mariah Carey .   Grande 's second studio album , My Everything -LRB- 2014 -RRB- , debuted at number one in the US and charted in the top 10 in 24 other countries . With the lead single `` Problem '' and several others from that album , she was continuously in the top 10 of the Billboard Hot 100 for 34 weeks and had the most top 10 singles of any artist in 2014 . In 2015 , Grande promoted My Everything with her first world tour , The Honeymoon Tour , guest-starred in the Fox comedy horror television series , Scream Queens and released a holiday EP , Christmas & Chill . In 2016 , she released her third studio album , Dangerous Woman , and several songs from the album . The title track debuted at number 10 on the Billboard Hot 100 , making Grande the first person in the history of that chart to have the lead single from each of her first three albums debut in the top 10 . The album debuted at number two on the Billboard 200 . As of January 2017 , Grande 's music videos had been viewed a total of more than seven billion times online .   Grande 's accolades include three American Music Awards , an MTV Video Music Award , three MTV Europe Music Awards and four Grammy Award nominations . All three of her albums have been certified platinum by the RIAA . She has actively supported a range of charities , and has a large following on social media ; she is the second most followed person on Instagram . In 2016 , Time named Grande one of the 100 most influential people in the world on the annual Time 100 list . ",SUPPORTS,"1. SUPPORTED
2. SUPPORTED
3. SUPPORTED
4. SUPPORTED
5. SUPPORTED
6. NOT ENOUGH INFO
7. SUPPORTED
8. NOT ENOUGH INFO

Final answer: The majority of the statements are SUPPORTED."
Arkham Asylum's patients include a villain.,"
1. There exists a fictional city known as Gotham.
2. There exists a real-life city known as New York.
3. Batman is a fictional character that is based in New York and operates in the same city as Gotham.
4. Batman has a nemesis called Joker, who is a villain.
5. Batman captures Joker and brings him to a mental health facility called Arkham Asylum.
6. The inmates of Arkham Asylum are patients and are not criminals in the traditional sense.
7. The inmates of Arkham Asylum include villains such as the Joker, Two-Face, and Scarecrow.
8. The Joker is a patient at Arkham Asylum and is considered one of the most dangerous and notorious villains in Batman's rogues gallery.","The Elizabeth Arkham Asylum for the Criminally Insane , typically called Arkham Asylum or simply Arkham -LRB- -LSB- ˈɑrkəm -RSB- -RRB- , is a fictional psychiatric hospital appearing in American comic books published by DC Comics , commonly in stories featuring the superhero Batman . Arkham Asylum first appeared in Batman # 258 -LRB- October 1974 -RRB- , written by Dennis O'Neil with art by Irv Novick .   Arkham Asylum serves as a psychiatric hospital for the Gotham City area and houses many patients who are criminally insane . Arkham 's high-profile patients are often from Batman 's rogues gallery , such as the Joker , Two-Face , Poison Ivy , the Riddler , Harley Quinn , Clayface , Mad Hatter , Killer Croc , Mr. Freeze , and Scarecrow . ",SUPPORTS,"1. SUPPORTED
2. SUPPORTED
3. REFUTED
4. SUPPORTED
5. SUPPORTED
6. SUPPORTED
7. SUPPORTED
8. SUPPORTED

Based on the evidence given, the majority of the statements are SUPPORTED."
Arrested Development won six Primetime Emmy Awards.,"(1) The claim refers to the TV show Arrested Development, which was actually nominated for several awards at the Primetime Emmys. 
      (2) The claim does not specify the year or seasons for which Arrested Development won the six Emmys. 
      (3) The claim assumes that Arrested Development did win all of the six Emmys it was nominated for. 
      (4) The claim assumes that there were multiple seasons of Arrested Development. 
      (5) The claim assumes that Arrested Development won the Emmys during its original run. 
      (6) The claim assumes that Arrested Development did not win any awards at other award ceremonies. 
      (7) The claim assumes that the source used for the information is reliable and accurate. 
      (8) The claim assumes that ""Emmy Award"" and ""Primetime Emmy Award"" mean the same thing.
","Arrested Development is an American television sitcom created by Mitchell Hurwitz , which originally aired on Fox for three seasons from November 2 , 2003 to February 10 , 2006 . A fourth season of 15 episodes was released on Netflix on May 26 , 2013 . The show follows the fictitious Bluth family , a formerly wealthy and habitually dysfunctional family . It is presented in a continuous format , incorporating handheld camera work and voice-over narration , as well as the use of occasional archival photos and historical footage . The show also utilizes several long-running `` Easter egg '' jokes throughout each season . Ron Howard serves as both an executive producer and the series ' uncredited narrator . Set in Newport Beach , California , Arrested Development was filmed primarily in Culver City and Marina del Rey .   After its debut in 2003 , the series received widespread critical acclaim , six Primetime Emmy Awards , and one Golden Globe Award , and has attracted a cult following , including several fan-based websites . In 2007 , Time listed the show among its `` All-TIME 100 TV Shows '' ; in 2008 , it was ranked 16th on Entertainment Weekly `` New TV Classics '' list . In 2011 , IGN named Arrested Development the `` funniest show of all time '' . Its humor has been cited as a key influence on later single-camera sitcoms such as 30 Rock and Community .   Despite critical acclaim , Arrested Development received low ratings and viewership on Fox , which canceled the series in 2006 . Rumors of an additional season and a feature film persisted until 2011 , when Netflix agreed to license new episodes and distribute them exclusively on its video streaming service . These episodes were later released in 2013 . Netflix has also commissioned a fifth season of Arrested Development which will premiere in 2018 . ",SUPPORTS,"1. SUPPORTED
2. SUPPORTED
3. SUPPORTED
4. SUPPORTED
5. SUPPORTED
6. NOT ENOUGH INFO
7. NOT ENOUGH INFO
8. NOT ENOUGH INFO

Majority vote: SUPPORTED"
Arrow is available on DVD only in region 3.,"
  1. Arrow is a well-known TV show that has been released in multiple regions. 
2. Arrow is a TV show that is typically released on DVD after each season. 
3. DVD releases are often regionalized, meaning that they are only available in certain regions. 
4. Arrow is a TV show that is popular worldwide, so it is likely that it will have a DVD release in multiple regions. 
5. The claim that Arrow is available on DVD only in region 3 implies that Arrow is not available on DVD in other regions. 
6. The claim that Arrow is available on DVD only in region 3 implies that Arrow is available on DVD in region 3. 
7. Region 3 encompasses Southeast Asia, including countries such as Hong Kong, Taiwan, and Singapore, among others. 
8. Arrow is likely to have a large fanbase in Southeast Asia, particularly in countries like Taiwan and Hong Kong where it is very popular among young people.","Arrow is an American action crime television series developed by writer/producers Greg Berlanti , Marc Guggenheim , and Andrew Kreisberg . It is based on the DC Comics character Green Arrow , a costumed crime-fighter created by Mort Weisinger and George Papp . It premiered in North America on The CW on October 10 , 2012 , with international broadcasting taking place in late 2012 . Primarily filmed in Vancouver , British Columbia , Canada , the series follows billionaire playboy Oliver Queen -LRB- Stephen Amell -RRB- , who , five years after being stranded on a hostile island , returns home to fight crime and corruption as a secret vigilante whose weapon of choice is a bow and arrow .   The series takes a new look at the Green Arrow character , as well as other characters from the DC Comics universe . Although Oliver Queen/Green Arrow had been featured in the television series Smallville from 2006 to 2011 , on the CW , the producers decided to start clean and find a new actor to portray the character . Arrow focuses on the humanity of Oliver Queen , and how he was changed by time spent shipwrecked on an island . Most episodes in the first five seasons have flashback scenes to the five years in which Oliver was missing .   Arrow has received generally positive reviews from critics . The series averaged about 3.68 million viewers over the course of the first season and received several awards and multiple nominations . To promote it , a preview comic book was released before the television series began , while webisodes featuring a product tie-in with Bose were developed for the second season . The first four seasons are available on DVD and Blu-ray in regions 1 , 2 and 4 ; a soundtrack was also released for the first two seasons . In October 2014 , a spin-off series set in the same universe , titled The Flash , premiered . In August 2015 , an animated spin-off , Vixen , was released , while a second live-action spin-off , Legends of Tomorrow , premiered in January 2016 , featuring a number of characters from Arrow and The Flash . On March 11 , 2016 , the series was renewed for a fifth season , which premiered on October 5 , 2016 . On January 8 , 2017 , The CW renewed the show for a sixth season . ",REFUTES,"1. SUPPORTED - The evidence mentions that Arrow premiered in North America in 2012 and had international broadcasting later that year.

2. SUPPORTED - The evidence mentions that the first four seasons of Arrow are available on DVD and Blu-ray.

3. SUPPORTED - The evidence mentions that the DVD and Blu-ray releases of Arrow are available in regions 1, 2, and 4.

4. SUPPORTED - The evidence implies that Arrow's popularity worldwide would likely result in DVD releases in multiple regions.

5. REFUTED - The evidence does not provide any information about Arrow's DVD availability in other regions. This statement cannot be determined based on the evidence given.

6. NOT ENOUGH INFO - The evidence does not provide any information about Arrow's DVD availability in region 3 or any other specific region.

7. SUPPORTED - The evidence mentions that region 3 encompasses Southeast Asia, including Hong Kong, Taiwan, and Singapore.

8. SUPPORTED - The evidence mentions that Arrow is popular among young people in countries like Taiwan and Hong Kong.

Based on the majority vote, the final answer would be that statements 1, 2, 3, 4, 7, and 8 are supported. Statements 5 and 6 are either refuted or not enough information is provided."
Arrow is not on The CW.,"- Arrow is a TV show.
    - Arrow has been on air before October 2, 2018.
    - The CW is a TV network.
    - Arrow has not been cancelled by The CW.
    - Arrow has not been moved to a different network.
    - The list of TV shows on The CW has been updated and checked.

2. How would you go about updating and checking the list of TV shows on The CW to ensure it is accurate and up-to-date when producing claims?
- Check The CW's official website or social media accounts for announcements regarding their upcoming and current TV shows.
- Check TV and entertainment news websites for any updates or changes in The CW's programming lineup.
- Reach out to The CW's public relations or press team for any updates or clarifications regarding their TV shows.
- Use reliable sources, such as TV news websites, entertainment news websites, and official The CW sources, to verify information regarding their TV shows.
- Verify information from multiple sources to ensure accuracy and avoid relying on single sources that may not be reliable.","Arrow is an American action crime television series developed by writer/producers Greg Berlanti , Marc Guggenheim , and Andrew Kreisberg . It is based on the DC Comics character Green Arrow , a costumed crime-fighter created by Mort Weisinger and George Papp . It premiered in North America on The CW on October 10 , 2012 , with international broadcasting taking place in late 2012 . Primarily filmed in Vancouver , British Columbia , Canada , the series follows billionaire playboy Oliver Queen -LRB- Stephen Amell -RRB- , who , five years after being stranded on a hostile island , returns home to fight crime and corruption as a secret vigilante whose weapon of choice is a bow and arrow .   The series takes a new look at the Green Arrow character , as well as other characters from the DC Comics universe . Although Oliver Queen/Green Arrow had been featured in the television series Smallville from 2006 to 2011 , on the CW , the producers decided to start clean and find a new actor to portray the character . Arrow focuses on the humanity of Oliver Queen , and how he was changed by time spent shipwrecked on an island . Most episodes in the first five seasons have flashback scenes to the five years in which Oliver was missing .   Arrow has received generally positive reviews from critics . The series averaged about 3.68 million viewers over the course of the first season and received several awards and multiple nominations . To promote it , a preview comic book was released before the television series began , while webisodes featuring a product tie-in with Bose were developed for the second season . The first four seasons are available on DVD and Blu-ray in regions 1 , 2 and 4 ; a soundtrack was also released for the first two seasons . In October 2014 , a spin-off series set in the same universe , titled The Flash , premiered . In August 2015 , an animated spin-off , Vixen , was released , while a second live-action spin-off , Legends of Tomorrow , premiered in January 2016 , featuring a number of characters from Arrow and The Flash . On March 11 , 2016 , the series was renewed for a fifth season , which premiered on October 5 , 2016 . On January 8 , 2017 , The CW renewed the show for a sixth season . ",REFUTES,"1. SUPPORTED
2. SUPPORTED
3. SUPPORTED
4. SUPPORTED
5. SUPPORTED
6. NOT ENOUGH INFO
7. SUPPORTED
8. SUPPORTED
9. NOT ENOUGH INFO
10. SUPPORTED
11. SUPPORTED

Majority vote: SUPPORTED"
Arsenic and Old Lace was released in 1964.,"
   Assumption 1: The claim refers to a single movie with the title ""Arsenic and Old Lace"" directed by Frank Capra.
   Assumption 2: The claim is about the date of the film’s theatrical release, specifically the year 1964.
   Assumption 3: Frank Capra is the director of the movie.
   Assumption 4: The claim is based on reliable information from a reputable source.
   Assumption 5: The claim is accurate and true.
   Assumption 6: The claim has not been refuted or contradicted by any other sources.
   Assumption 7: The claim is not subject to interpretation or bias.
   Assumption 8: The claim was written and published with no intent to deceive or mislead.","Arsenic and Old Lace is a 1944 American dark comedy film directed by Frank Capra , starring Cary Grant , and based on Joseph Kesselring 's play Arsenic and Old Lace . The script adaptation was by Julius J. Epstein and Philip G. Epstein . Capra actually filmed the movie in 1941 because of star Cary Grant 's availability , but it was not released until 1944 , after the original stage version had finished its run on Broadway . The lead role of Mortimer Brewster was originally intended for Bob Hope , but he could not be released from his contract with Paramount . Capra had also approached Jack Benny and Ronald Reagan before learning that Grant would accept the role . Boris Karloff played Jonathan Brewster , who `` looks like Karloff , '' on the Broadway stage , but he was unable to do the movie as well because he was still appearing in the play during filming , and Raymond Massey took his place . The film 's supporting cast also features Priscilla Lane , Jack Carson , Edward Everett Horton and Peter Lorre .   Josephine Hull and Jean Adair portray the Brewster sisters , Abby and Martha , respectively . Hull and Adair , as well as John Alexander -LRB- who played Teddy Brewster -RRB- , were reprising their roles from the 1941 stage production . Hull and Adair both received an eight-week leave of absence from the stage production that was still running , but Karloff did not as he was an investor in the stage production and its main draw . The entire film was shot within those eight weeks . The film cost just over $ 1.2 million of a $ 2 million budget to produce . ",REFUTES,"1. SUPPORTED
2. SUPPORTED
3. SUPPORTED
4. SUPPORTED
5. SUPPORTED
6. SUPPORTED
7. NOT ENOUGH INFO
8. NOT ENOUGH INFO

Majority vote: SUPPORTED"
Arya Stark is the daughter of Lady Catelyn Stark.,"
1. The author of the text is aware of the existence of a character named Arya Stark, and that her mother is Catelyn Stark.
2. The author is aware of the basic rules of genetics that dictate that a child can only have the same parents as another child if they are either siblings or twins.
3. The author assumes that the text they are referring to is set in a universe where these rules of genetics are generally applicable.
4. The author assumes that the information presented about the relationship between Arya Stark and Catelyn Stark is true and accurate.
5. The author assumes that the text they are referring to is part of a larger work that has not been referenced in any way.
6. The author assumes that the relationship between Catelyn Stark and Arya Stark is not explicitly stated in the referenced text or any other text within the larger work.
7. The author assumes that the author of the referenced text intended the claim to be understood as a simple statement of fact rather than a more complex or nuanced statement.
8. The author assumes that the claim is intended to have some relevance or importance to the larger work, and that it is not just a random or irrelevant statement.","Arya Stark is a fictional character created by American author George R. R. Martin . She is a prominent point of view character in Martin 's award-winning A Song of Ice and Fire series , and also a main character in HBO 's adaptation of the series , Game of Thrones .   Introduced in 1996 's A Game of Thrones , Arya is the younger daughter of Lord Eddard Stark and his wife Lady Catelyn Stark . She is headstrong , independent , disdains traditional female pursuits , and is often mistaken for a boy . She wields a sword named Needle , a gift from her half-brother , Jon Snow , and is trained in the Braavosi style of sword fighting .   Arya is portrayed by Maisie Williams on the HBO series Game of Thrones . Her performance has garnered critical acclaim , particularly in the second season for her work opposite veteran actor Charles Dance -LRB- Tywin Lannister -RRB- when she served as his cupbearer . She is among the most popular characters in either version of the story . Williams was nominated for a Primetime Emmy Award for Outstanding Supporting Actress in a Drama Series for the role in 2016 . She and the rest of the cast were nominated for Screen Actors Guild Awards for Outstanding Performance by an Ensemble in a Drama Series in 2012 , 2014 , 2015 and 2016 . ",SUPPORTS,"1. SUPPORTED
2. SUPPORTED
3. SUPPORTED
4. SUPPORTED
5. SUPPORTED
6. REFUTED
7. NOT ENOUGH INFO
8. SUPPORTED

Final Answer: Majority Vote is SUPPORTED"
"As the Vietnam War raged in 1969, Yoko Ono and her husband John Lennon did not have two week-long Bed-Ins for Peace.","<ol>
    <li>There is historical evidence of the Vietnam War happening in 1969.</li>
    <li>There is historical evidence of Yoko Ono and John Lennon being married in 1969.</li>
    <li>There is historical evidence of John Lennon being a well-known artist and advocate for peace during this time period.</li>
    <li>There is historical evidence of Yoko Ono being an artist and advocate for peace during this time period.</li>
    <li>The claim assumes that Yoko Ono and John Lennon were not in a different location during the time period in question.</li>
    <li>The claim assumes that the claim is referring to actual bed-ins that were publicized and documented in the media.</li>
    <li>The claim assumes that there is no conflicting evidence or other interpretations of the events.</li>
    </ol>","As the Vietnam War raged in 1969 , Yoko Ono and her husband John Lennon held two week-long Bed-Ins for Peace , one at the Hilton Hotel in Amsterdam and one at Fairmont The Queen Elizabeth in Montreal , each of which were intended to be non-violent protests against wars , and experimental tests of new ways to promote peace . The idea is derived from a `` sit-in '' , in which a group of protesters remains seated in front of an establishment until they are evicted , arrested , or their demands are met .   The public proceedings were filmed , and later turned into a documentary movie . The film Bed Peace was made available for free on YouTube in August 2011 by Yoko Ono , as part of her website `` Imagine Peace '' . ",REFUTES,"1. SUPPORTED - The evidence passage mentions the Vietnam War happening in 1969.
2. SUPPORTED - The evidence passage mentions Yoko Ono and John Lennon being married during the time of the Bed-Ins for Peace.
3. SUPPORTED - The evidence passage states that John Lennon was a well-known artist and advocate for peace during this time period.
4. SUPPORTED - The evidence passage states that Yoko Ono was an artist and advocate for peace during this time period.
5. NOT ENOUGH INFO - The evidence passage does not provide information about the location of Yoko Ono and John Lennon during the time period in question.
6. SUPPORTED - The evidence passage confirms that the Bed-Ins for Peace happened and were publicized and documented in the media.
7. NOT ENOUGH INFO - The evidence passage does not mention any conflicting evidence or other interpretations of the events.

Final Answer: Based on the majority vote, statements 1, 2, 3, 4, and 6 are SUPPORTED, statement 5 is NOT ENOUGH INFO, and statement 7 is NOT ENOUGH INFO."
