,question_idx,claim,label,evidence,assertions
10,680,Julius Caesar possessed a position from 15 February to 15 March.,NOT ENOUGH INFO,"Gaius Julius Caesar (/ˈsiːzər/, SEE-zər; Latin: [ˈɡaːiʊs ˈjuːliʊs ˈkae̯sar]; 12 July 100 BC – 15 March 44 BC) was a Roman general and statesman. A member of the First Triumvirate, Caesar led the Roman armies in the Gallic Wars before defeating his political rival Pompey in a civil war, and subsequently became dictator from 49 BC until his assassination in 44 BC. He played a critical role in the events that led to the demise of the Roman Republic and the rise of the Roman Empire.. In 60 BC, Caesar, Crassus, and Pompey formed the First Triumvirate, an informal political alliance that dominated Roman politics for several years. Their attempts to amass political power were opposed by many in the Senate, among them Cato the Younger with the private support of Cicero.","1. The observation does not provide any information about Julius Caesar's position from 15 February to 15 March. There is not enough information to support or refute the claim.  
"
11,1273,The Matrix Revolutions was directed by Steven Spielberg.,REFUTES,"The Matrix Revolutions is a 2003 American science fiction action film written and directed by the Wachowskis.[a] It is the third  installment in The Matrix film series, released six months following The Matrix Reloaded. The film stars Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving, Jada Pinkett Smith, Monica Bellucci, Lambert Wilson, and Mary Alice who replaces Gloria Foster as the Oracle following her death in 2001.. The film was released simultaneously in 108 territories on November 5, 2003, by Warner Bros. Pictures. While being the final entry in the original trilogy of the series, the Matrix storyline was continued in The Matrix Online video game.","1. The observation states that The Matrix Revolutions was written and directed by the Wachowskis, not Steven Spielberg. 
"
12,1363,The United States used nuclear weapons in warfare.,SUPPORTS,"The United States was the first country to manufacture nuclear weapons and is the only country to have used them in combat, with the bombings of Hiroshima and Nagasaki in World War II. Before and during the Cold War, it conducted 1,054 nuclear tests, and tested many long-range nuclear weapons delivery systems.[Note 1]. Between 1940 and 1996, the U.S. federal government spent at least US$10.9 trillion in present-day terms[5] on nuclear weapons, including platforms development (aircraft, rockets and facilities), command and control, maintenance, waste management and administrative costs.[6] It is estimated that the United States produced more than 70,000 nuclear warheads since 1945, more than all other nuclear weapon states combined.[7] Until November 1962, the vast majority of U.S. nuclear tests were above ground.","1. The observation states that the United States is the only country to have used nuclear weapons in combat, supporting the claim that the United States used nuclear weapons in warfare. 
"
13,2442,Jacinda Barrett acts.,SUPPORTS,"Jacinda Barrett Macht (born 2 August 1972) is an Australian actress and former model. She first became known to audiences as a cast member on The Real World: London (1995) before appearing in films such as The Human Stain (2003), Bridget Jones: The Edge of Reason (2004), Ladder 49 (2004), The Namesake (2006), Poseidon (2006), and The Last Kiss (2006). She appeared in the series The Following in 2013 and joined the main cast of the Netflix series Bloodline, which launched in 2015.. Barrett was born in Brisbane, Queensland, Australia, the daughter of an airport firefighter.. She attended Kenmore State High School in Brisbane.","1. The observation states that ""Jacinda Barrett Macht is an Australian actress and former model"" and lists several films and series she has appeared in. This supports the claim that Jacinda Barrett acts. 
"
14,44,Nice & Slow is a jazz single.,NOT ENOUGH INFO,"Nice (/niːs/ NEESS, French pronunciation: [nis] ⓘ; Niçard: Niça, classical norm, or Nissa, nonstandard, pronounced [ˈnisa]; Italian: Nizza [ˈnittsa]; Ligurian: Nissa; Ancient Greek: Νίκαια; Latin: Nicaea) is a city in and the prefecture of the Alpes-Maritimes department in France. The Nice agglomeration extends far beyond the administrative city limits, with a population of nearly one million[4][3] on an area of 744 km2 (287 sq mi).[3] Located on the French Riviera, the southeastern coast of France on the Mediterranean Sea, at the foot of the French Alps, Nice is the second-largest French city on the Mediterranean coast and second-largest city in the Provence-Alpes-Côte d'Azur region after Marseille. Nice is approximately 13 kilometres (8 mi) from the principality of Monaco and 30 kilometres (19 mi) from the French–Italian border. Nice's airport serves as a gateway to the region.. The city is nicknamed Nice la Belle (Nissa La Bella in Niçard), meaning 'Nice the Beautiful', which is also the title of the unofficial anthem of Nice, written by Menica Rondelly in 1912.","1. The observation has no information about the song ""Nice & Slow"" being a jazz single. 
"
15,1,Roman Atwood is a content creator.,SUPPORTS,"Roman Bernard Atwood (born May 28, 1983) is an American YouTube personality and prankster. He is best known for his vlogs, where he posts updates about his life. His vlogging channel, ""RomanAtwoodVlogs"", has a total of 5 billion views and 15 million subscribers. He also has another YouTube channel called ""RomanAtwood"", where he used to post prank videos. The channel has been inactive since 2016.","1. The observation says that Roman Atwood is a YouTube personality and prankster who posts vlogs and prank videos. Therefore, he is a content creator. 
"
16,2962,Twenty One Pilots was formed in the 2000s.,NOT ENOUGH INFO,"Could not find Twenty One Pilots formed. Similar: ['Twenty One Pilots', 'Twenty One Pilots discography', 'List of songs recorded by Twenty One Pilots', 'Trench (album) (redirect from Trench (Twenty One Pilots album))', 'House of Gold (Twenty One Pilots song)'].Could not find Twenty One Pilots history. Similar: ['Twenty One Pilots', 'Twenty One Pilots (album)', 'Twenty One Pilots discography', 'Vessel (Twenty One Pilots album)', 'Blurryface (redirect from Doubt (Twenty One Pilots song))'].","1. There is not enough information available to determine if the claim is true or false. 
"
17,2342,Solange Knowles refused to ever sing or write songs.,REFUTES,"Solange Piaget Knowles (/soʊˈlɑːnʒ/; born June 24, 1986)[2][3] is an American singer, songwriter and actress. Expressing an interest in music from an early age, Knowles had several temporary stints as a backup dancer for Destiny's Child, which featured her elder sister, Beyoncé Knowles, among its members, before signing with her father Mathew Knowles's Music World Entertainment label. At age 16, Knowles released her first studio album Solo Star (2002). She also appeared in the films Johnson Family Vacation (2004), and Bring It On: All or Nothing (2006).. In 2007, Knowles began to record music again.","1. The observation states that Solange Knowles is an American singer and songwriter. This refutes the claim that she has refused to sing or write songs. 
"
18,281,Venus Williams has won multiple Wimbledons.,SUPPORTS,"Venus Ebony Starr Williams[2] (born June 17, 1980)[3] is an American professional tennis player. A former world No. 1 in both singles and doubles, Williams has won seven Grand Slam singles titles, five at Wimbledon and two at the US Open.[4] She is widely regarded as one of the greatest tennis players of all time.[5][6][7]. Along with her younger sister, Serena, Venus Williams was coached by her parents Oracene Price and Richard Williams. Turning professional in 1994, she reached her first major final at the 1997 US Open.","1. Venus Williams has ""won five at Wimbledon"", which indicates that she has won multiple Wimbledons. 
"
19,232,Adam Driver has had supporting roles.,SUPPORTS,"Adam Douglas Driver (born November 19, 1983) is an American actor. Recognized for his collaborations with auteur filmmakers, he is the recipient of various accolades, including nominations for two Academy Awards, four Primetime Emmy Awards, and a Tony Award.. Driver made his Broadway debut in Mrs. Warren's Profession (2010) and subsequently appeared in Man and Boy (2011). He rose to prominence with a supporting role in the HBO series Girls (2012–2017), for which he received three consecutive Primetime Emmy nominations.","1. The observation says that Adam Driver ""rose to prominence with a supporting role in the HBO series Girls"", so he has had supporting roles. 
"
20,166,Paul Walker acted in movies.,SUPPORTS,"Paul William Walker IV[1] (September 12, 1973[2] – November 30, 2013) was an American actor. He was best known for his role as Brian O'Conner in the Fast & Furious franchise.. Paul Walker began his career as a child actor in the 1980s, gaining recognition in the 1990s after appearing in the television soap opera The Young and the Restless; he received praise for his performances in the teen comedy She's All That and the comedy-drama Varsity Blues (both 1999), and saw international fame by starring in The Fast and the Furious (2001).. He also starred in the commercially successful road thriller Joy Ride (2001), becoming an action star. He followed this with the box-office disappointments Into the Blue (2005) and Running Scared (2006), although he earned praise for his performance in the survival drama Eight Below, and for his portrayal of Hank Hansen in Flags of Our Fathers (both 2006).","1. The observation confirms that Paul Walker acted in movies, as it states that he began his career as a child actor in the 1980s and gained recognition in the 1990s for his performances in various films.  
"
21,2743,Amelia Earhart was a technology pioneer.,NOT ENOUGH INFO,"Amelia Mary Earhart (/ˈɛərhɑːrt/ AIR-hart, born July 24, 1897; disappeared July 2, 1937; declared dead January 5, 1939) was an American aviation pioneer and writer.[2][Note 1] Earhart was the first female aviator to fly solo across the Atlantic Ocean.[4] She set many other records,[3][Note 2] was one of the first aviators to promote commercial air travel, wrote best-selling books about her flying experiences, and was instrumental in the formation of The Ninety-Nines, an organization for female pilots.[6]. Born and raised in Atchison, Kansas, and later in Des Moines, Iowa, Earhart developed a passion for adventure at a young age, steadily gaining flying experience from her twenties. In 1928, Earhart became the first female passenger to cross the Atlantic by airplane (accompanying pilot Wilmer Stultz), for which she achieved celebrity status. In 1932, piloting a Lockheed Vega 5B, Earhart made a nonstop solo transatlantic flight, becoming the first woman to achieve such a feat. She received the United States Distinguished Flying Cross for this accomplishment.[7] In 1935, Earhart became a visiting faculty member at Purdue University as an advisor to aeronautical engineering and a career counselor to female students.","1. Amelia Earhart's observation mentions that she was an aviation pioneer and writer, but it does not explicitly mention her being a technology pioneer. 
"
22,582,Blues and rock music has been played by the band AC/DC.,SUPPORTS,"AC/DC are an Australian rock band formed in 1973. They were founded by rhythm guitarist and backing vocalist Malcolm Young and lead guitarist Angus Young (brother). Their current line-up comprises Angus, bassist Cliff Williams, drummer Phil Rudd, lead vocalist Brian Johnson and rhythm guitarist Stevie Young (nephew). Their music has been variously described as hard rock, blues rock and heavy metal, but the band calls it simply ""rock and roll"". They are cited as a former influence on the new wave of British heavy metal bands, such as Iron Maiden and Saxon.","1. The observation says that AC/DC's music has been described as ""hard rock, blues rock and heavy metal"", so it supports the claim that they have played blues and rock music. 
"
23,2788,Ronaldo Maczinski's birthday is widely celebrated.,NOT ENOUGH INFO,"Ronaldo Maczinski (born 11 September 1980), known as Ronaldo, is a Brazilian footballer who plays as a forward; he had a lengthy career in Portuguese football.[1]. This biographical article related to a Brazilian association football forward born in the 1980s is a stub. You can help Wikipedia by expanding it.. Main pageContentsCurrent eventsRandom articleAbout WikipediaContact usDonate. HelpLearn to editCommunity portalRecent changesUpload file.",
24,806,David Carradine was nominated for four Academy Awards.,NOT ENOUGH INFO,"David Carradine (/ˈkærədiːn/ KARR-ə-deen; born John Arthur Carradine Jr.; December 8, 1936 – June 3, 2009) was an American actor, director, and musician, whose career included over 200 major and minor roles in film, television and on stage, spanning more than six decades.[1][2] He was widely known to television audiences as the star of the 1970s television series Kung Fu, playing Kwai Chang Caine, a peace-loving Shaolin monk traveling through the American Old West.[3]. A member of the Carradine family of actors, he got his break playing Atahuallpa in the Broadway play The Royal Hunt of the Sun. He appeared in two early Martin Scorsese films: Boxcar Bertha and Mean Streets, and played Woody Guthrie in the critically-acclaimed biopic Bound for Glory (1976), which earned him a Golden Globe nomination for Best Actor – Motion Picture Drama. He received nominations for a Golden Globe and an Emmy Award for his work on Kung Fu.. Later in his career, he became known for his ""B"" movie and martial arts roles, but experienced a resurgence after playing the title character in Quentin Tarantino's Kill Bill duology.[1] He received additional Golden Globe nominations for his performances in the television miniseries North and South (1985), and Kill Bill: Volume 2 (2004),[4] for which he won the Saturn Award for Best Supporting Actor.","1. The observation says that David Carradine received nominations for a Golden Globe and an Emmy Award for his work on Kung Fu, but does not mention anything about Academy Awards. Therefore, there is not enough information to determine if the claim is true or not. 
"
25,245,Nina Simone graduated Juilliard.,NOT ENOUGH INFO,"Nina Simone (born Eunice Kathleen Waymon; February 21, 1933 – April 21, 2003) (/ˌniːnə sɪˈmoʊn/)[1] was an American singer, songwriter, pianist, composer, arranger and civil rights activist. Her music spanned styles including classical, folk, gospel, blues, jazz, R&B, and pop.. The sixth of eight children born into a poor family in North Carolina, Simone initially aspired to be a concert pianist.[2] With the help of a few supporters in her hometown, she enrolled in the Juilliard School of Music in New York City.[3] She then applied for a scholarship to study at the Curtis Institute of Music in Philadelphia, where, despite a well received audition, she was denied admission,[4] which she attributed to racism. In 2003, just days before her death, the Institute awarded her an honorary degree.[5]. To make a living, Simone started playing piano at a nightclub in Atlantic City.","1. From the observation, it says that Nina Simone ""enrolled in the Juilliard School of Music in New York City"". However, it does not say whether she graduated or not. 
"
26,2775,Jean-Claude Van Damme isn't a screenwriter.,REFUTES,"Jean-Claude Camille François Van Varenberg (French: [ʒɑ̃ klod kamij fʁɑ̃swa vɑ̃ vaʁɑ̃bɛʁɡ]; Dutch: [vɑn ˈvarə(n)ˈbɛrx]; born 18 October 1960), known professionally as Jean-Claude Van Damme (French: [vɑ̃ dam]; Dutch: [vɑn ˈdɑmə]), is a Belgian martial artist, actor, filmmaker, fight choreographer, and environmentalist. Born and raised in Brussels, Belgium, at the age of ten his father enrolled him in martial arts classes, which led Van Damme to compete in several karate and kickboxing competitions. With the desire of becoming an actor, he moved to the United States in 1982, where he did odd jobs and worked on several films, until he got his break as the lead in the martial arts film Bloodsport (1988).. Van Damme became a popular action film star and followed up with box-office successes such as Cyborg (1989), Kickboxer (1989), Lionheart (1990), Death Warrant (1990), Double Impact (1991), Universal Soldier (1992), Nowhere to Run (1993), Hard Target (1993), Timecop (1994), Street Fighter (1994), Sudden Death (1995), The Quest (1996), Maximum Risk (1996), etc. After a decline, Van Damme returned to prominence with the critically acclaimed crime drama JCVD (2008).","1. The observation does not mention anything about Jean-Claude Van Damme being a screenwriter.  
"
27,821,Dangerous Beauty is a 1990 film.,REFUTES,"Dangerous Beauty is a 1998 American biographical drama film directed by Marshall Herskovitz and starring Catherine McCormack, Rufus Sewell, and Oliver Platt. Based on the non-fiction book The Honest Courtesan by Margaret Rosenthal, the film is about Veronica Franco, a courtesan in sixteenth-century Venice who becomes a hero to her city, but later becomes the target of an inquisition by the Church for witchcraft. The film features a supporting cast that includes Fred Ward, Naomi Watts, Moira Kelly and Jacqueline Bisset. The film was released as A Destiny of Her Own in some regions, and was retitled The Honest Courtesan for its UK video release.. Veronica Franco is an adventurous, curious, slightly tomboyish young woman in Venice.","1. The observation says that Dangerous Beauty is a 1998 film, not a 1990 film. 
"
28,2934,Ajay Devgan is a person.,SUPPORTS,"Vishal Veeru Devgan (born 2 April 1969), known professionally as Ajay Devgn, is an Indian actor, film director, and producer who works primarily in Hindi cinema. A leading actor of Hindi cinema, Devgn has appeared in over 100 films and has won numerous accolades, including four National Film Awards and four Filmfare Awards. In 2016, he was honoured by the Government of India with the Padma Shri, the country's fourth-highest civilian honour.[2]. Devgn emerged a star with his first film, the 1991 action romance Phool Aur Kaante, which earned him the Filmfare Award for Best Male Debut.[3][4] He played further action roles in the films Jigar (1992), Vijaypath (1994), Dilwale (1994), Jaan (1996) and Diljale (1996), and romantic roles in Ishq (1997), Pyaar To Hona Hi Tha (1998) and Hum Dil De Chuke Sanam (1999). For playing a riot victim in Zakhm (1998) and Bhagat Singh in The Legend of Bhagat Singh (2002), he twice won the National Film Award for Best Actor.","1. Ajay Devgan is mentioned as an Indian actor, film director, and producer. This confirms that Ajay Devgan is a person. 
"
29,258,Judy Garland did not appear in a courtroom drama film.,REFUTES,"Judy Garland (born Frances Ethel Gumm; June 10, 1922 – June 22, 1969) was an American actress and singer. She attained international stardom and critical acclaim as an actress in both musical and dramatic roles, as a recording artist, and on the concert stage. Renowned for her versatility, she received an Academy Juvenile Award, a Golden Globe Award, and a Special Tony Award.[1][2][3] Garland was the first woman to win the Grammy Award for Album of the Year, which she won for her 1961 live recording titled Judy at Carnegie Hall.[4]. Garland began performing as a child with her two older sisters, in a vaudeville group ""The Gumm Sisters"" and was later signed to Metro-Goldwyn-Mayer as a teenager. She appeared in more than two dozen films for MGM, including The Wizard of Oz (1939), Meet Me in St.","1. The observation does not mention anything about Judy Garland appearing in a courtroom drama film.  
"
30,1207,King Kong was composed by Peter Jackson.,NOT ENOUGH INFO,"Could not find King Kong composer. Similar: ['King Kong (2005 film)', 'King Kong (2005 video game)', 'King Kong (soundtrack)', 'King Kong Lives', 'MonsterVerse (redirect from Godzilla/Kong shared universe)'].","1. The observation does not provide any information about the composer of King Kong, so I cannot determine if the claim is true or not. 
"
31,280,Escape from Planet Earth is an American film.,SUPPORTS,"Escape from Planet Earth is a 2013 computer-animated comedy-adventure science fiction film produced by Rainmaker Entertainment and distributed by The Weinstein Company in the United States and Entertainment One in Canada, directed by Cal Brunker (in his feature-length directorial debut), with a screenplay which he co-wrote with Bob Barlen, and features an ensemble voice cast that includes Rob Corddry, Brendan Fraser, Sarah Jessica Parker, William Shatner, Jessica Alba, Jane Lynch, Craig Robinson, George Lopez, Sofía Vergara, Steve Zahn, Chris Parnell, Jonathan Morgan Heit, and Ricky Gervais. The film was released on February 15, 2013. Escape from Planet Earth received negative reviews from critics and grossed $74.6 million on a budget of $40 million.. On Planet Baab, reckless astronaut and glory hog Scorch Supernova works at the organization BASA with his nerdy older brother Gary, who assists him on missions from BASA Headquarters. One day, Gary receives a message from the head of BASA, Lena, that Scorch will be sent to the ""Dark Planet"" (the Baabians' name for Earth) due to an SOS call.","1. The observation states that Escape from Planet Earth was distributed by The Weinstein Company in the United States.  
"
32,1228,Christopher Lee portrayed Francisco Scaramanga in the film The Man with the Golden Gun.,SUPPORTS,"Sir Christopher Frank Carandini Lee CBE CStJ (27 May 1922 – 7 June 2015) was an English actor and singer.[1] In a long career which spanned over 60 years, Lee often portrayed villains, and appeared as Count Dracula in seven Hammer Horror films, ultimately playing the role nine times. His other film roles include Francisco Scaramanga in the James Bond film The Man with the Golden Gun (1974), Count Dooku in several Star Wars films (2002–2008), and Saruman in both the Lord of the Rings film trilogy (2001–2003) and the Hobbit film trilogy (2012–2014).. Lee was knighted for services to drama and charity in 2009, received the BAFTA Fellowship in 2011, and received the BFI Fellowship in 2013. He credited three films for making his name as an actor, A Tale of Two Cities (1958), in which he played the villainous marquis, and two horror films, The Curse of Frankenstein (1957), and Dracula (1958). He considered his best performance to be that of Pakistan's founder Muhammad Ali Jinnah in the biopic Jinnah (1998), and his best film to be the British cult film The Wicker Man (1973).","1. The observation states that Christopher Lee played Francisco Scaramanga in the film The Man with the Golden Gun, supporting the claim. 
"
33,455,Bob Riley is a lawyer.,NOT ENOUGH INFO,"Robert Renfroe Riley (born October 3, 1944) is an American retired politician and businessman who served as the 52nd governor of Alabama from 2003 to 2011. A member of the Republican Party, he was the U.S. Representative for Alabama's 3rd congressional district from 1997 to 2003.. Riley was born in Ashland, Alabama, a small town in Clay County where his family ranched and farmed for six generations. Riley attended the University of Alabama, where he was a brother of Phi Kappa Sigma fraternity and graduated with a degree in business administration.","1. The observation does not mention anything about Bob Riley being a lawyer.  
"
34,1125,Derrick Rose was not born in the Chicago area.,REFUTES,"Derrick Martell Rose (born October 4, 1988) is an American professional basketball player for the Memphis Grizzlies of the National Basketball Association (NBA). He played one year of college basketball for the Memphis Tigers before being drafted first overall by his hometown Chicago Bulls in the 2008 NBA draft.[1] He was named the NBA Rookie of the Year in 2009 and became the youngest player to win the NBA Most Valuable Player Award in 2011 at age 22.. Rose was born and raised in Chicago, and attended Simeon Career Academy. He was highly recruited by colleges, eventually choosing to join the University of Memphis under coach John Calipari. Rose led the Tigers to the most wins in NCAA history (a 38–2 record), their first number 1 ranking in 25 years, and an appearance in the NCAA championship game.","1. The observation clearly states that Derrick Rose was born and raised in Chicago. Therefore, the claim that he was not born in the Chicago area is refuted. 
"
35,234,Thor: The Dark World is a movie.,SUPPORTS,,
